10, 0.036652, 0.962996, 0.024166, 0.938830, 0.000352, 0.002620, 0.002637, 0.010163, 0.010719, 0.000025
28, 0.062691, 0.936945, 0.134517, 0.802428, 0.000364, 0.002378, 0.002383, 0.018648, 0.017855, 0.000013
46, 0.075466, 0.924157, 0.288894, 0.635264, 0.000377, 0.001923, 0.001925, 0.019090, 0.019510, 0.000013
64, 0.081562, 0.918062, 0.422850, 0.495212, 0.000376, 0.001295, 0.001296, 0.025652, 0.024548, 0.000006
82, 0.083209, 0.916410, 0.525086, 0.391324, 0.000381, 0.003187, 0.003196, 0.024431, 0.021929, 0.000010
100, 0.079031, 0.920588, 0.618891, 0.301698, 0.000381, 0.002431, 0.002434, 0.012390, 0.010983, 0.000010
200, 0.061684, 0.937933, 0.826603, 0.111330, 0.000383, 0.002840, 0.002839, 0.009262, 0.006678, 0.000006
300, 0.051183, 0.948434, 0.894695, 0.053739, 0.000383, 0.001883, 0.001884, 0.005367, 0.003801, 0.000005
400, 0.044309, 0.955304, 0.923663, 0.031642, 0.000387, 0.001355, 0.001356, 0.004435, 0.003160, 0.000003
500, 0.040732, 0.958883, 0.937424, 0.021460, 0.000384, 0.001434, 0.001436, 0.002945, 0.001681, 0.000004
