10, 0.220433, 0.778169, 0.001585, 0.776584, 0.001399, 0.006723, 0.006746, 0.001692, 0.007679, 0.000045
28, 0.303522, 0.694989, 0.012071, 0.682918, 0.001488, 0.004424, 0.004437, 0.001826, 0.005667, 0.000015
46, 0.358532, 0.639954, 0.026548, 0.613406, 0.001513, 0.005539, 0.005540, 0.004966, 0.006179, 0.000015
64, 0.403854, 0.594633, 0.044739, 0.549894, 0.001513, 0.002720, 0.002730, 0.008434, 0.007237, 0.000020
82, 0.439650, 0.558826, 0.060874, 0.497952, 0.001524, 0.006886, 0.006898, 0.011764, 0.007645, 0.000022
100, 0.468018, 0.530465, 0.084125, 0.446340, 0.001517, 0.004401, 0.004396, 0.012128, 0.008652, 0.000010
200, 0.544705, 0.453759, 0.171038, 0.282721, 0.001536, 0.014830, 0.014831, 0.024806, 0.010162, 0.000013
300, 0.563797, 0.434664, 0.234616, 0.200048, 0.001539, 0.008336, 0.008337, 0.011685, 0.003875, 0.000006
400, 0.556731, 0.441740, 0.294382, 0.147357, 0.001529, 0.013945, 0.013948, 0.019118, 0.005600, 0.000008
500, 0.536250, 0.462217, 0.350432, 0.111785, 0.001533, 0.021400, 0.021399, 0.027906, 0.006591, 0.000006
