10, 0.364925, 0.632800, 0.005627, 0.627173, 0.002275, 0.008769, 0.008826, 0.002029, 0.007579, 0.000075
28, 0.449185, 0.548415, 0.043825, 0.504590, 0.002399, 0.004763, 0.004784, 0.005174, 0.004812, 0.000049
46, 0.491480, 0.506086, 0.089074, 0.417012, 0.002435, 0.007690, 0.007696, 0.006846, 0.008551, 0.000034
64, 0.518376, 0.479162, 0.136638, 0.342524, 0.002462, 0.006236, 0.006238, 0.012127, 0.006867, 0.000021
82, 0.532414, 0.465114, 0.181176, 0.283939, 0.002471, 0.005873, 0.005860, 0.010662, 0.005736, 0.000024
100, 0.538907, 0.458621, 0.215307, 0.243314, 0.002472, 0.004575, 0.004579, 0.008526, 0.007259, 0.000012
200, 0.530891, 0.466624, 0.349966, 0.116658, 0.002485, 0.008087, 0.008092, 0.012474, 0.004697, 0.000010
300, 0.501324, 0.496191, 0.431557, 0.064634, 0.002486, 0.008173, 0.008165, 0.011511, 0.003485, 0.000012
400, 0.463696, 0.533819, 0.496750, 0.037069, 0.002485, 0.009143, 0.009141, 0.011793, 0.002737, 0.000008
500, 0.443542, 0.553964, 0.529597, 0.024366, 0.002495, 0.004946, 0.004953, 0.006048, 0.001238, 0.000016
