10, 0.215597, 0.783005, 0.099661, 0.683344, 0.001398, 0.007504, 0.007550, 0.010682, 0.007583, 0.000054
28, 0.243119, 0.755397, 0.415012, 0.340385, 0.001484, 0.006071, 0.006094, 0.008654, 0.010275, 0.000025
46, 0.236150, 0.762361, 0.586220, 0.176141, 0.001489, 0.003611, 0.003611, 0.008173, 0.007833, 0.000024
64, 0.230378, 0.768115, 0.657087, 0.111028, 0.001507, 0.004036, 0.004048, 0.007226, 0.005645, 0.000018
82, 0.224034, 0.774446, 0.704212, 0.070234, 0.001520, 0.003025, 0.003045, 0.004627, 0.004260, 0.000027
100, 0.220713, 0.777762, 0.727929, 0.049833, 0.001525, 0.002155, 0.002155, 0.001943, 0.001713, 0.000009
200, 0.207196, 0.791276, 0.775326, 0.015951, 0.001527, 0.001404, 0.001413, 0.001432, 0.000871, 0.000011
300, 0.202875, 0.795599, 0.787013, 0.008586, 0.001526, 0.001615, 0.001621, 0.001973, 0.000696, 0.000012
400, 0.201229, 0.797240, 0.791525, 0.005714, 0.001531, 0.001553, 0.001559, 0.001895, 0.000440, 0.000010
500, 0.199407, 0.799061, 0.795161, 0.003900, 0.001532, 0.001111, 0.001115, 0.001236, 0.000250, 0.000009
